sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte,fte2,dfte,gap,dw,sample
503,1,0,0,0,0,0,0,1,0,2,7.5,14,4,4.75,,.12,0,100,2,6.5,16.5,.97000003,.83999997,.91000003,3,3,1,1,110792,,35,6.5,3,4.5,13,.15000001,0,2,6,18,.97000003,.83999997,1,3,3,14.5,38.25,23.75,0,-.25,1
510,3,1,0,0,0,0,0,1,0,0,7,25,4,4.25,26,.25,0,60,2,6,16,1.05,.91000003,1.05,3,3,1,1,111892,2,2.5,17.5,3,,13,,1,2,7,15,1.05,1.01,,5,3,19.5,11.25,-8.25,0,,0
511,3,1,0,0,0,0,0,1,0,0,4,16,3,4.75,9,.15000001,0,75,2,6,16.5,1.01,.91000003,1.05,4,4,1,1,111192,,3,13,3,4.75,,,0,2,7,15,1.01,1.01,.88999999,6,2,12,9.5,-2.5,0,0,1
514,3,0,0,0,0,0,0,1,0,0,5,20,3,4.5,26,.25,0,25,2,6,16,.94,.89999998,.94,5,3,1,1,111192,1,23,16,3,4.25,10,.2,0,2,6,16,.94999999,.94999999,1.05,6,4,15,31,16,0,-.25,1
516,3,1,0,0,0,0,0,1,0,2,6,22.5,3,4.75,13,.12,0,23,3,6,16,1.05,.91000003,1.05,4,3,1,1,111692,,2,12,2,4.9099998,14,.18000001,1,2,8,14,1.01,.94999999,.88999999,5,3,17.25,8,-9.25,0,.15999985,1
521,1,0,0,0,0,0,1,0,0,0,2.5,20,3,4.25,13,,1,50,2,6.5,16.5,,,.51999998,4,4,1,1,110792,,0,12,8,4.4000001,13,.13,1,2,7,16,.41,.83999997,.88999999,4,2,12.5,6,-6.5,0,.1500001,1
522,1,0,0,0,0,0,1,0,0,2,2,30,4,4.3499999,26,.2,0,75,3,7,16,1,.87,.94,3,3,1,1,110792,,3,23,3,4.25,26,.15000001,0,3,7,16,1,.74000001,.94999999,3,3,17,14.5,-2.5,0,-.099999905,1
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.0599999,.94999999,1,4,,1,1,111092,,2,40,5,5.0500002,26,.28,1,2,7,16,1.05,.89999998,.98000002,3,2,11,22,11,0,,0
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.0599999,.94999999,1.01,2,1,1,1,111092,,5,25,4,5.0500002,26,.15000001,0,3,7.5,14,1.05,.94,1,3,2,10,17.5,7.5,0,,0
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.0500002,,.25,0,2,10,11.5,1.16,1.0599999,1.05,5,3,20,20,0,0,,0
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.0700001,1.0599999,6,,1,1,111692,,2,33,3,5.0500002,26,.2,0,2,10,11.5,1.21,1.01,.94,6,4,17.25,18.5,1.25,0,,0
153,1,0,1,0,0,1,0,0,0,0,0,25,9,,52,.15000001,0,33,1,7,17,1,.94999999,.88999999,4,3,1,1,111092,,26.5,10,3,5.0500002,26,.15000001,0,2,7,17,1.05,.94999999,.94999999,3,2,12.5,31.5,19,0,,0
181,2,0,1,0,0,1,0,0,0,0,0,13,3,,,,0,100,1,10.5,11,.91000003,.79000002,2.3399999,3,2,1,1,111192,,1,15,2,5.0500002,,.25,0,1,10.5,11,.94999999,.89999998,2.49,3,2,6.5,8.5,2,0,,0
191,4,0,1,0,0,1,0,0,0,0,30,20,4,,,,0,,2,10.5,12,1.0599999,.94999999,1.0599999,,1,1,1,111792,1,0,25,4,5.0500002,6,.25,1,2,10.5,12,1.02,.94,1.05,2,2,40,12.5,-27.5,0,,0
231,1,0,1,0,0,1,0,0,0,1,,10,3,,26,,0,,2,7,16,1.02,1.02,.94999999,2,2,1,1,111092,,16,6,4,5.0500002,4,.25,0,1,7,16,.89999998,.94999999,.94999999,3,1,,19,,0,,0
236,1,0,1,0,0,1,0,0,0,3,0,34,4,,17,,0,95,1,7,17,1.1799999,1.02,1.0599999,4,3,1,1,111792,2,23,22,4,5.0500002,8,.28,1,1,7,18,1.1,1.01,.99000001,4,3,17,34,17,0,,0
254,4,0,1,1,0,0,0,0,1,0,20,10,3,,16,,0,,1,7,16,1.0599999,.86000001,1.0599999,2,2,1,1,111492,1,28,10,3,5.25,8,.2,1,1,7,15,1,.85000002,1.05,2,2,25,33,8,0,,0
255,4,0,1,1,0,0,0,0,0,2,0,14,3,,52,.27000001,1,10,1,7,14,1.01,.79000002,.85000002,2,2,1,1,111392,,8,12,2,,52,.14,0,1,7,14,1,.85000002,2.1099999,2,2,7,14,7,0,,0
294,1,0,1,0,0,1,0,0,0,3,0,35,3,,26,.2,0,70,2,7,16,1.0599999,.94999999,.94999999,3,3,1,1,110992,,0,35,3,5.0500002,26,.2,0,2,7,16,1.05,.94,.94,3,2,17.5,17.5,0,0,,0
306,3,1,1,0,0,1,0,0,0,0,15,15,3,,17,,0,,2,6,17,1.02,,1.0599999,4,4,1,1,111792,1,6,20,3,5.0500002,26,.23,0,2,6,18,1.11,1.05,1.05,,2,22.5,16,-6.5,0,,0
311,4,0,1,0,0,1,0,0,0,2,0,30,4,,26,.31999999,1,78,2,10.5,11.5,.91000003,.91000003,1.0599999,2,2,1,1,111392,,35,30,3,5.0500002,,.2,0,2,10.5,11.5,1.01,.94999999,1.05,2,2,15,50,35,0,,0
315,1,0,1,1,0,0,0,0,0,0,5,19,2,,4,.25,1,65,3,7,16,1,.85000002,.88,3,2,1,1,110992,,4.5,20,2,5.0500002,8,.079999998,0,2,7,16,1.05,.83999997,.87,3,2,14.5,14.5,0,0,,0
335,1,1,1,1,0,0,0,0,0,0,9,10,3,,13,.17,0,100,1,6,17,1.0599999,.92000002,.92000002,5,2,1,1,111892,3,7,13,3,5.0500002,26,.13,0,1,6,17,1.05,.94,.94,5,2,14,13.5,-.5,0,,0
372,1,1,1,0,0,1,0,0,0,2,0,45,5,,26,.15000001,1,30,3,6.5,19,1.1,.94999999,1.1,4,,1,1,111792,1,30,20,5,5.0500002,8,.079999998,0,2,6.5,18.5,1.0599999,1.05,1.04,4,3,22.5,40,17.5,0,,0
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,.25,0,100,1,11,7,1.2,1.17,2.3499999,4,2,1,1,111792,1,5,2,2,5.0500002,13,.15000001,0,1,10,8,1.11,1.01,2.23,4,2,3,6,3,.0099999998,.050000191,1
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.1199999,6,.25,0,0,3,11,11,1.0599999,.85000002,2.49,6,5,1,1,110592,,4,17,3,5.0500002,13,.25,1,2,11,11,1.05,.94,2.5999999,6,3,14,12.5,-1.5,0,-.069999695,1
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.5599999,6,,1,,2,7,16,1.0599999,.91000003,.98000002,4,2,1,1,111792,2,10,20,4,5.0500002,,,0,2,7,16,1.01,.94,.94,5,4,37.5,20,-17.5,0,-.50999975,1
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,,.37,0,0,1,11,10,1.0599999,.85000002,2.3399999,4,3,1,1,111292,,0,7,4,5.0500002,26,.25,0,1,11,10,1.05,.83999997,2.53,4,3,9,3.5,-5.5,.0099999998,.050000191,1
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,.37,0,0,1,11,10,1.0599999,1.0599999,2.53,2,2,1,1,111292,,4,3,2,5.0500002,19,.25,1,1,11,10,.94,.92000002,2.6900001,2,2,8,5.5,-2.5,.0099999998,.050000191,1
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,.15000001,0,0,2,11,11,1.03,1.0599999,2.5599999,4,3,1,1,111492,3,6,15,5,5.0500002,26,.25,0,1,10.5,12.5,1,1.05,2.6400001,4,4,12,13.5,1.5,0,-.19999981,1
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,.25,0,7,2,6,17,1.02,1.0700001,.94999999,5,4,1,1,111392,,6,11,5,5.0500002,,.2,0,2,6,17,1.11,1.0599999,1.05,4,2,22,11.5,-10.5,.0099999998,.050000191,1
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,.17,1,0,2,10.5,13,1.02,.91000003,2.5699999,2,2,1,1,111492,,10,35,6,5.0500002,26,.15000001,1,2,10.5,12.5,.94999999,.88999999,1.1900001,2,2,14,27.5,13.5,0,-.44999981,1
